"building_1","building_2","distance_meters"
"DB0001","DB0002","2983.04014165"
"DB0001","DB0003","4865.32966091"
"DB0001","DB0004","7413.13129957"
"DB0001","DB0005","6883.56532127"
"DB0001","DB0006","6301.78526527"
"DB0001","DB0007","6384.66649747"
"DB0001","DB0008","5167.64830749"
"DB0001","DB0009","4966.91115375"
"DB0001","DB0010","128.71286083"
"DB0002","DB0003","1924.84457972"
"DB0002","DB0004","5395.96506806"
"DB0002","DB0005","5437.66298917"
"DB0002","DB0006","4966.05513577"
"DB0002","DB0007","5927.28857678"
"DB0002","DB0008","5872.6310462"
"DB0002","DB0009","5932.4131369"
"DB0002","DB0010","3008.14693847"
"DB0003","DB0004","4192.37557467"
"DB0003","DB0005","4728.67148294"
"DB0003","DB0006","4421.92041635"
"DB0003","DB0007","5900.03775688"
"DB0003","DB0008","6577.62628079"
"DB0003","DB0009","6773.8646852"
"DB0003","DB0010","4875.95872903"
"DB0004","DB0005","1489.12864924"
"DB0004","DB0006","1828.04138474"
"DB0004","DB0007","3632.69389795"
"DB0004","DB0008","5664.73685354"
"DB0004","DB0009","6105.9619881"
"DB0004","DB0010","7353.17693698"
"DB0005","DB0006","593.2322567"
"DB0005","DB0007","2150.47766513"
"DB0005","DB0008","4291.14924675"
"DB0005","DB0009","4757.55360606"
"DB0005","DB0010","6802.62276062"
"DB0006","DB0007","1892.87609849"
"DB0006","DB0008","3839.55267793"
"DB0006","DB0009","4287.78964465"
"DB0006","DB0010","6219.1484294"
"DB0007","DB0008","2366.36292298"
"DB0007","DB0009","2867.07135103"
"DB0007","DB0010","6276.44493376"
"DB0008","DB0009","502.88538242"
"DB0008","DB0010","5041.87278296"
"DB0009","DB0010","4839.15389661"

--------------------------------------------------------------------------------------------------
"center_building","neighbor_building","distance_meters"
"DB0001","DB0010","128.71286083"
